date,gdpdef,eff,rgdppc,sp500
1980-01-01,40.801,15.05,30154,109.97000133333333
1980-04-01,41.772,12.69,29451,110.589999
1980-07-01,42.705,9.84,29328,123.169998
1980-10-01,43.818,15.85,29794,134.58333333333334
1981-01-01,44.972,16.57,30316,132.27333566666667
1981-04-01,45.863,17.78,30023,132.20333366666668
1981-07-01,46.726,17.58,30300,123.29666633333333
1981-10-01,47.534,13.59,29892,123.59666666666666
1982-01-01,48.188,14.23,29365,115.15666733333333
1982-04-01,48.814,14.51,29434,112.64333333333333
1982-07-01,49.506,11.01,29247,115.673332
1982-10-01,50.019,9.29,29186,137.62999966666666
1983-01-01,50.397,8.65,29511,148.773336
1983-04-01,50.771,8.8,30120,164.819997
1983-07-01,51.311,9.46,30647,164.343333
1983-10-01,51.7,9.43,31213,164.95999666666665
1984-01-01,52.223,9.69,31762,159.88333166666666
1984-04-01,52.67,10.56,32246,154.593333
1984-07-01,53.138,11.39,32478,161.14666766666667
1984-10-01,53.536,9.27,32665,165.63666766666668
1985-01-01,54.065,8.48,32920,180.49000066666667
1985-04-01,54.413,7.92,33140,187.07667033333334
1985-07-01,54.741,7.9,33560,187.21000166666667
1985-10-01,55.047,8.1,33725,201.09000133333333
1986-01-01,55.321,7.83,33972,225.86666366666665
1986-04-01,55.531,6.92,34053,244.57000200000002
1986-07-01,55.758,6.21,34294,240.12333166666667
1986-10-01,56.062,6.27,34396,245.12333166666667
1987-01-01,56.418,6.22,34585,283.32667033333337
1987-04-01,56.809,6.65,34885,294.1533303333333
1987-07-01,57.239,6.84,35101,323.429993
1987-10-01,57.695,6.92,35615,243.056666
1988-01-01,58.147,6.66,35728,261.26000966666663
1988-04-01,58.713,7.16,36122,265.66333033333336
1988-07-01,59.415,7.98,36239,268.48332733333336
1988-10-01,59.929,8.47,36631,276.79667133333334
1989-01-01,60.553,9.44,36929,293.73332700000003
1989-04-01,61.198,9.73,37127,316.04667166666667
1989-07-01,61.645,9.08,37299,348.893331
1989-10-01,62.084,8.61,37271,346.583323
1990-01-01,62.754,8.25,37593,333.636668
1990-04-01,63.457,8.24,37612,350.01666266666666
1990-07-01,64.001,8.16,37505,328.2533266666667
1990-10-01,64.477,7.74,37032,318.813334
1991-01-01,65.109,6.43,36746,362.07333366666666
1991-04-01,65.587,5.86,36914,378.7766623333333
1991-07-01,66.099,5.64,36969,390.3666586666667
1991-10-01,66.492,4.82,36971,394.920003
1992-01-01,66.739,4.02,37304,408.3900043333333
1992-04-01,67.14,3.77,37583,412.81334433333336
1992-07-01,67.468,3.26,37815,418.67999266666664
1992-10-01,67.932,3.04,38077,428.57999666666666
1993-01-01,68.313,3.04,38029,444.61000566666667
1993-04-01,68.719,3,38135,446.97000099999997
1993-07-01,69.128,3.06,38186,456.873332
1993-10-01,69.505,2.99,38582,465.35666933333334
1994-01-01,69.837,3.21,38852,464.8399963333333
1994-04-01,70.174,3.94,39263,450.5599976666667
1994-07-01,70.577,4.49,39366,465.4866636666667
1994-10-01,70.96,5.17,39695,461.769999
1995-01-01,71.344,5.81,39729,486.17333966666666
1995-04-01,71.687,6.02,39735,530.9533486666667
1995-07-01,72.04,5.8,39944,569.449992
1995-10-01,72.387,5.72,40092,600.9333293333333
1996-01-01,72.736,5.36,40292,640.6500043333333
1996-04-01,73.037,5.24,40848,664.6399943333333
1996-07-01,73.276,5.31,41080,659.756673
1996-10-01,73.668,5.28,41375,734.3433433333333
1997-01-01,74.107,5.28,41532,778.033325
1997-04-01,74.257,5.52,42102,844.9200236666667
1997-07-01,74.579,5.53,42487,933.686666
1997-10-01,74.824,5.51,42719,946.8166706666667
1998-01-01,74.933,5.52,43035,1043.7899983333334
1998-04-01,75.11,5.5,43315,1112.1366373333333
1998-07-01,75.433,5.53,43721,1031.653361
1998-10-01,75.641,4.86,44293,1163.843343
1999-01-01,75.926,4.73,44600,1268.113322
1999-04-01,76.201,4.75,44820,1336.5766603333334
1999-07-01,76.462,5.09,45263,1310.613322
1999-10-01,76.873,5.31,45894,1407.0300293333332
2000-01-01,77.396,5.68,45944,1419.819987
2000-04-01,77.865,6.27,46669,1442.5433353333333
2000-07-01,78.309,6.52,46605,1461.67334
2000-10-01,78.723,6.47,46771,1354.876668
2001-01-01,79.204,5.59,46531,1255.4266356666667
2001-04-01,79.683,4.33,46693,1243.2199706666668
2001-07-01,80.004,3.5,46378,1128.5832923333335
2001-10-01,80.268,2.13,46386,1115.7699786666667
2002-01-01,80.533,1.73,46690,1128.1066486666666
2002-04-01,80.821,1.75,46868,1044.6266886666667
2002-07-01,81.194,1.74,46958,880.9900103333333
2002-10-01,81.654,1.44,46916,900.630005
2003-01-01,82.025,1.25,47078,848.343343
2003-04-01,82.266,1.25,47378,951.6700033333333
2003-07-01,82.712,1.02,48063,998.0966596666666
2003-10-01,83.201,1,48499,1073.6099853333333
2004-01-01,83.82,1,48663,1134.0933023333334
2004-04-01,84.504,1.01,48927,1122.9400229999999
2004-07-01,85.056,1.43,49267,1106.846639
2004-10-01,85.712,1.95,49637,1171.9799803333333
2005-01-01,86.391,2.47,50081,1188.486654
2005-04-01,86.996,2.94,50204,1179.8933106666666
2005-07-01,87.783,3.46,50523,1227.7733563333334
2005-10-01,88.489,3.98,50715,1234.9266763333333
2006-01-01,89.107,4.46,51277,1285.2033283333333
2006-04-01,89.852,4.91,51281,1283.6333006666666
2006-07-01,90.481,5.25,51228,1305.4433186666668
2006-10-01,90.815,5.25,51532,1398.956665
2007-01-01,91.708,5.26,51540,1421.973307
2007-04-01,92.301,5.25,51719,1505.4466553333334
2007-07-01,92.776,5.07,51866,1485.33667
2007-10-01,93.145,4.5,52049,1499.6266683333333
2008-01-01,93.489,3.18,51637,1343.9600016666666
2008-04-01,93.99,2.09,51790,1355.3233236666667
2008-07-01,94.69,1.94,51384,1238.8566486666666
2008-10-01,94.986,0.51,50154,922.7466633333333
2009-01-01,94.976,0.18,49491,786.280009
2009-04-01,94.838,0.18,49318,903.7566733333333
2009-07-01,94.938,0.16,49384,1021.7266436666666
2009-10-01,95.259,0.12,49811,1082.3066406666667
2010-01-01,95.499,0.13,49903,1115.930013
2010-04-01,95.943,0.19,50272,1102.2699786666667
2010-07-01,96.222,0.19,50545,1097.3766276666668
2010-10-01,96.763,0.19,50698,1207.1500246666667
2011-01-01,97.283,0.16,50495,1313.0566406666667
2011-04-01,97.922,0.09,50773,1343.1499836666667
2011-07-01,98.553,0.08,50660,1214.196696
2011-10-01,98.703,0.07,51150,1252.6199953333332
2012-01-01,99.32,0.1,51468,1362.1866863333332
2012-04-01,99.713,0.15,51607,1356.800008
2012-07-01,100.225,0.14,51578,1408.8566486666666
2012-10-01,100.737,0.16,51539,1418.1766763333333
2013-01-01,101.139,0.14,51921,1527.32666
2013-04-01,101.431,0.12,51906,1611.5299883333334
2013-07-01,101.918,0.08,52212,1666.75
2013-10-01,102.517,0.09,52526,1803.5700276666666
2014-01-01,102.937,0.07,52293,1838.1266276666668
2014-04-01,103.512,0.09,52913,1922.5832923333335
2014-07-01,103.957,0.09,53452,1968.7766926666666
2014-10-01,104.123,0.1,53646,2048.170003333333
2015-01-01,104.031,0.11,54071,2055.7932943333335
2015-04-01,104.596,0.12,54348,2085.33667
2015-07-01,104.926,0.14,54439,1998.6833903333334
2015-10-01,104.937,0.16,54420,2067.90332
2016-01-01,104.865,0.36,54640,1977.4033200000001
2016-04-01,105.592,0.37,54722,2087.0367023333333
2016-07-01,105.95,0.4,54918,2170.940023
2016-10-01,106.469,0.45,55165,2187.930013
2017-01-01,107.01,0.7,55401,2335.076660333333
2017-04-01,107.34,0.95,55560,2406.4699706666665
2017-07-01,107.872,1.15,55874,2487.1033526666665
2017-10-01,108.598,1.2,56324,2611.236735
2018-01-01,109.237,1.45,56785,2726.1700846666668
2018-04-01,110.176,1.74,57099,2690.563395333333
2018-07-01,110.614,1.92,57317,2877.263346333333
2018-10-01,111.14,2.22,57429,2659.58667
2019-01-01,111.424,2.4,57789,2774.329996666667
2019-04-01,112.141,2.4,57942,2879.8833823333334
2019-07-01,112.531,2.19,58229,2961.193278
2019-10-01,112.95,1.64,58490,3136.4400226666667
2020-01-01,113.415,1.26,57691,2921.4433596666668
2020-04-01,112.755,0.06,52387,3019.01001
